Poisson (λ = 1),"Uniforme {0, 1, 2}","Binomiale (n=2, p=1/2)","Binomiale (n=10, p=1/10)","Binomiale (n=50, p=1/50)","Bêta-Binomiale (n=2, α=3, β=3)","Bêta-Binomiale (n=5, α=5, β=20)","Bêta-Binomiale (n=3, α=5, β=10)","Bêta-Binomiale (n=10, α=5, β=45)","Négative Binomiale (n=1, p=0.5)","Négative Binomiale (n=10, p=10/11)","Hyper-Géométrique (N=10, n=2, p=0.5)","Hyper-Géométrique (N=100, n=10, p=0.1)"
0.3713111365975763,0.4038391982165429,0.4566157664112358,0.3866629765580166,0.3764257157384202,0.4318868268174971,0.3798052811328006,0.4034586760724058,0.3647607033896934,0.2831231310832117,0.36135446119348497,0.47373172016507825,0.40164861286319953
0.26599994955320566,0.3074592693130469,0.36463674073241237,0.282403369237776,0.27312757285676603,0.33571440731648816,0.2744511505383208,0.30362759423857955,0.25745465985037597,0.1823181580598511,0.2583957069295856,0.38231508833394356,0.2953379795138326
0.21155497065519535,0.2528992867337795,0.3010164207072012,0.2236412160077068,0.21231623071820754,0.27681522352978777,0.21685475103035276,0.2427033288274729,0.2022195754121014,0.13642259654639927,0.19987812738424907,0.3216137317257765,0.23686087392460767
0.1724650700899091,0.2336246244570402,0.25870204837636784,0.18603642525166436,0.17450120316233966,0.23545692873077717,0.1787074678645059,0.20518524961837964,0.16737642075471695,0.10920111075933488,0.16173175366738216,0.27714919826634327,0.1980724652696316
0.1462587535051573,0.21205403783309018,0.22722943114946373,0.15840422021494413,0.14814272246442997,0.20816824560203867,0.15415741233989613,0.17503376152404443,0.14338777004595077,0.09025101267107866,0.13701177293385577,0.24476163594764228,0.17056835652000846
0.12516748053181173,0.19973172599871913,0.20327427481811422,0.14505547093907628,0.12759049576989526,0.19401272104172143,0.13555708668972444,0.1646008812221986,0.1250025199354194,0.07697193308315003,0.11928785273302861,0.22002125641448927,0.14934328120987084
0.11016800371824628,0.17276866522171247,0.1846978676989213,0.1312218151100706,0.1123936049641334,0.1786564375925431,0.1286793761576656,0.14054757737113865,0.10949928953512277,0.06524963847867582,0.10765816838072804,0.19901095795581927,0.13219677107049313
0.09890565020029396,0.15724782117997882,0.17021497842715297,0.12457594447042845,0.10121103787655991,0.17061702609372276,0.11163174247209978,0.1378669259397048,0.09923305663351582,0.058209423483017365,0.09482136665040089,0.18269659768760071,0.12481807980503198
0.0881772337640296,0.1513319479644829,0.15592532383418375,0.10492369936651547,0.10052773977969211,0.16616144790523407,0.10997359635505806,0.12851923504465132,0.10099480895593543,0.051854184373928205,0.08421512548489535,0.1687941942891053,0.1198800602258873
0.08135887718573342,0.149215829663674,0.15338992486921263,0.09817536075926012,0.09128594479409236,0.15611631398933207,0.09476225682887078,0.12337523358380283,0.09586822924269953,0.04640434442679129,0.07703448537504534,0.16556960347768643,0.11056607785622027
0.07528232761202762,0.14022496006294735,0.14865902013658588,0.08910784887976884,0.08961964131874312,0.14285091646735254,0.08939921960256236,0.11488961088973267,0.08588652896542759,0.041954052432636765,0.08436831821492127,0.15352665466939816,0.10313606763127377
0.08495111263550478,0.1287573225016307,0.13822523379817492,0.08113913216992841,0.07809794507143555,0.1314570866082586,0.087313396369932,0.10657636542762229,0.08707564733732656,0.03939674739153925,0.07453542655720063,0.14492273609708722,0.09055283438949054
0.07118915334162658,0.1209967549118261,0.12541513408597538,0.08425247745984266,0.07903430366147643,0.1294148429586563,0.07947983420992134,0.09315418060095969,0.07661957590330151,0.035248389258560976,0.07397834655529642,0.13489686499268438,0.08304150637961283
0.06273049593400767,0.11246894305877364,0.1186938452339322,0.08062778939071813,0.08021007518533746,0.12483401272166629,0.0822009686752593,0.08635822441540301,0.07529026068924789,0.03258994725333975,0.06622220831851669,0.13194040967996135,0.08660765411863014
0.060230479585363206,0.11283007782987872,0.11327792792836856,0.07765389376113922,0.06372288217476887,0.11342406751421262,0.06942766756225267,0.07975298229480349,0.06362358285929914,0.03869926659311893,0.06385162805385977,0.1289665847216513,0.08011467834767738
0.05602744680382492,0.10242887908942883,0.1132918800549467,0.07129263988265169,0.058089531382060036,0.1158921847343625,0.06979774516237172,0.08663146032372368,0.05885255692912132,0.03291304587525301,0.053655952394615465,0.11900309140969016,0.07939402963275478
0.051928304096302634,0.09409898022959196,0.11028836244082796,0.07564530719540558,0.05897462702855269,0.10244675559351002,0.06886721896229395,0.07816210818433306,0.0598510191471849,0.04855394666703916,0.06284580545096452,0.10867824155430707,0.07519963203431224
0.050377408095712416,0.0936464466704212,0.10589165321947344,0.06867153356931813,0.06142500781506266,0.10426181562145242,0.05595417045873227,0.08159668959504948,0.04981640875770324,0.0489746836216193,0.058936857386746186,0.10664240134094435,0.06698249736390419
0.05358167995641526,0.09117506310813042,0.10707536294916838,0.06889927701414329,0.057218273944486975,0.0915193281978631,0.05208860689833796,0.06349492391496234,0.053929686867037835,0.04021049835684176,0.06542798038503324,0.10488347309630497,0.06938050370217234
0.05098791490550122,0.08747200897464644,0.10661173481698315,0.05753004312898008,0.05363821896772767,0.09260311612480712,0.05850497120417665,0.06805028707859935,0.06112457493177659,0.04792021510363059,0.06458697910527852,0.10125451050993708,0.06417663794671326
0.049368839487958546,0.07797854377995797,0.0910509575255448,0.05667453722054547,0.0494491817569758,0.08743031954875827,0.04967150727635363,0.06815620644782304,0.06234216247828475,0.03355419001200638,0.05672565578616374,0.10226875369102731,0.06639973348968359
