Poisson (λ = 1),"Uniforme {0, 1, 2}","Binomiale (n=2, p=1/2)","Binomiale (n=10, p=1/10)","Binomiale (n=50, p=1/50)","Bêta-Binomiale (n=2, α=3, β=3)","Bêta-Binomiale (n=5, α=5, β=20)","Bêta-Binomiale (n=3, α=5, β=10)","Bêta-Binomiale (n=10, α=5, β=45)","Négative Binomiale (n=1, p=0.5)","Négative Binomiale (n=10, p=10/11)","Hyper-Géométrique (N=10, n=2, p=0.5)","Hyper-Géométrique (N=100, n=10, p=0.1)"
3.1997731041900306e-05,1.762419702293664e-21,3.982634593921802e-35,9.38116330631433e-09,8.663451309518253e-06,4.617656828185293e-34,2.038716294939932e-08,6.420414876338927e-15,2.4667041059832634e-05,0.28675465436838954,0.0002291025017285355,1.2372249067010512e-43,1.8613098346124447e-11
0.0002613510512663745,2.7372691285547275e-17,1.7036135962593483e-31,2.7028418789754e-09,1.3866954362057801e-05,2.796906613966581e-25,9.080373088804009e-08,1.2574513002926049e-11,3.150087372587578e-05,0.03881451897444621,1.6558780551730353e-05,1.0458595312169407e-34,9.55619113736913e-10
0.0007017030101722046,2.4720470540283334e-16,9.1770202766508e-28,2.569207681816497e-07,1.030501155129051e-05,5.862284825765083e-25,4.856977221850367e-05,5.5902693118925305e-12,0.001327793286518083,0.041463466451344355,0.0001223551196701563,1.4331554841505279e-31,2.0122035654849702e-07
0.0004101695247997254,7.72645004017342e-15,4.516011285727778e-27,5.490966972123596e-07,8.932412525364536e-05,2.0734097552428392e-18,0.0003106567758330018,4.4878109926754546e-07,0.0006093880465132661,0.1613195894932511,2.3048691636419266e-05,4.296761448927652e-29,1.569179823300925e-07
0.0013084908936938883,5.267421367368208e-13,8.601991881366968e-26,8.277036390580872e-05,0.0004243191989616948,5.200811725896189e-18,5.5517392539720025e-05,1.024310835460456e-07,0.00011613680218825377,0.06528652458698414,4.59982903363637e-05,5.243860933735359e-26,3.165282542760097e-06
0.002880543507983905,5.34698240948029e-10,3.1659021366167997e-18,0.0001782064805644092,0.0020922258289823178,2.286825440514625e-15,0.001344911759081136,1.9710164734602498e-07,0.000125159079793931,0.3880556089358308,0.0007367891608098033,1.3009481122448225e-25,2.31212464472718e-06
0.00036986926454289724,6.798987234612584e-10,2.724677974988989e-16,3.077988398097551e-05,0.012176866170893781,1.0552077646951974e-14,0.005698779927015398,7.993715139528133e-06,0.0017733603948577763,0.3977803948687211,0.003525266246171583,6.274567783367668e-23,1.5032670631762626e-05
0.004127533635873097,2.1406558266269708e-10,4.994161432781288e-17,0.0002454240680863435,0.0055801154288687635,2.8039970314136047e-12,0.0036763784901708923,4.147936597129632e-05,0.015004758287191021,0.5342819203474376,0.000651402248065882,3.3086516340648346e-21,1.795709084861939e-06
0.01129057266738337,1.5639128978229534e-10,2.1221326641581807e-16,0.0001482637860284277,0.03203318502761199,7.908072350887407e-12,0.001246479386951007,2.8856951929384415e-05,0.016665350589496055,0.26286154790303506,0.002416971184736783,6.149677360347371e-18,1.3810969372704387e-05
0.003260284937238972,3.364599053013947e-09,4.923658553298194e-14,0.0012188892626470368,0.0034320551103629963,3.845713686280377e-10,0.0026891864505737217,0.00016302175237050158,0.012923154899801646,0.7585063635673374,0.030139984968857392,2.3001060017970893e-16,6.8347853888365875e-06
0.002450788850555925,8.629091483308803e-07,7.396992488334696e-15,0.001195545046757884,0.0030318292830065355,1.8713987266138045e-09,0.0277999705773595,0.00030844878414022705,0.015137990963494616,0.5437733824516029,0.021721971535794853,4.281476617666757e-17,7.164338709003136e-06
0.032058935691010704,9.305537812929185e-07,5.609165789474291e-15,0.005028678184239646,0.005736049834346138,5.586679006790516e-09,0.058285556247413495,0.0005258268441468667,0.00909030920110029,0.6641157339203985,0.05388102609550194,1.2865008035204686e-15,0.00026484706937640243
0.09297416339264453,1.6950588103778315e-05,7.494881996435415e-13,0.007189179279679851,0.0190503650989686,2.641994727461048e-07,0.05722517071114708,0.00020088675354049164,0.010994362242556444,0.3113199030514813,0.08012682923204295,4.05538167220889e-13,0.0002848606348387071
0.11290929298015351,1.3517836213393425e-06,6.1150275977369e-10,0.017214398789935356,0.13126266769287886,7.969841783512833e-08,0.06678844432695452,0.009147436120385625,0.05460483842121122,0.500298800991889,0.12898506414869682,2.0407343436991585e-10,0.0033115989701556466
0.13097490835386982,9.204445908564323e-05,1.6867448399926085e-08,0.0027599916454753527,0.08438418134642633,4.913196281311646e-07,0.07021532845683287,0.011005086819035954,0.06400505561670988,0.9799766734099292,0.016029940038028254,3.92123602562376e-11,0.003353464751492321
0.0663926873402646,0.0007319290313588208,5.208999423147043e-09,0.0022829755025412196,0.04670122136465582,1.0602640413666387e-05,0.0573358537022749,0.004871580845279636,0.020461619357095975,0.6305559252566864,0.08077145908265282,4.953897468612864e-10,0.018984783764745522
0.038727656187193316,0.00014372261738343703,2.1089490320668162e-11,0.029225218039516943,0.08126796547243498,1.5731731596841783e-07,0.0984381894248958,0.006452930694059755,0.020815373428083404,0.4558393372928051,0.17827065935319364,6.209824069458737e-10,0.021439355864878277
0.021521364253897113,4.173932496750457e-06,4.143231224732104e-09,0.08894590309684092,0.0909624895842025,3.6850719140788336e-05,0.178032597493456,0.0070819646758056454,0.04756213802166542,0.5416118245250027,0.06228246253297853,9.081866105056089e-09,0.009884787555909595
0.10837744898728507,6.861795739609396e-05,4.2843890470271565e-06,0.006629194938622893,0.05903444719189943,7.515725494101529e-05,0.062488490353061144,0.011703795537925395,0.026192243485475775,0.951688201227198,0.09897433935981825,1.2118888808833126e-08,0.037103507617975984
0.21540813904679246,0.0027588150596274752,1.0009421832032168e-06,0.035991617040356694,0.07483161523720827,0.00020267856079215558,0.07198612921727132,0.015872870777353363,0.04769834225491376,0.6051624191025375,0.06940252061842178,5.587061642962451e-07,0.03633701234169695
0.22726914945735266,0.005318589108518599,1.9776514880717897e-07,0.07977455310439152,0.3509862916202726,8.942325301234313e-05,0.06329894766123356,0.2067340412818689,0.3776505642149488,0.9557608427901783,0.06629000963476439,9.602954413379338e-07,0.029721739047733786
0.2792851001056915,0.0026219847558293825,2.4497168434693675e-06,0.19051305340134417,0.675490684868264,0.0006507591480112246,0.0662156606546177,0.15145597864581994,0.3345818243837593,0.9883869682851454,0.13852968488525685,6.609152816448118e-07,0.04066337280551524
0.15496261213143847,0.007556704905632743,1.856113717759732e-05,0.1424041397756216,0.4084638741651684,0.004355086650823933,0.18304927881588173,0.04439592655237412,0.32428864547540937,0.817688935565262,0.05313048541780063,2.5805707660922856e-07,0.042738799618404544
0.39488330657142057,0.0007427620492745433,7.861981836871191e-06,0.03720290550169758,0.3520195091097823,0.0011180854669806668,0.128893125720828,0.02359214472306321,0.26922857897672303,0.24231500987701704,0.09257670033482202,1.746809033189614e-07,0.010795736993331645
0.23424489626301292,0.00793632168608332,1.6467886953494815e-05,0.0599542434036231,0.42125866618754904,0.00020788029068103948,0.05298181880823205,0.3047071578263054,0.6895779773016206,0.24324455964106007,0.08206462505539469,5.059934614707516e-08,0.1637635722894869
0.13827547707200194,0.05959200363700856,0.0006558097246223595,0.03830553648738133,0.3311081376765985,0.004816264952952177,0.015502006954900406,0.19525177919476178,0.6054974227891947,0.2998599984836272,0.04170041193259877,4.926615193766156e-06,0.3288265676586374
0.48316335036279023,0.025829941553530023,1.27353726949536e-05,0.05972846670126575,0.6195952869371992,0.0019892074946151507,0.04849953682325259,0.4824790033761852,0.6462990448210492,0.3652252866954281,0.03715781326900558,2.242455115504268e-06,0.06661517232363423
0.5858705068901879,0.00948074724570385,7.448785563453911e-05,0.045564720502562994,0.7915256842724507,0.020948737802600967,0.011007623873515844,0.32921392512062875,0.36370254092002874,0.5859020520977276,0.0645350431034557,0.0003364665650969857,0.055189080886216435
0.24800738519773768,0.025248880100085858,0.00017671860045823297,0.028979888868474357,0.45174087356750625,0.054610509991990464,0.03184342306109089,0.1556755333186618,0.4206052985393882,0.9083086089467232,0.25042793714127876,7.535513126550229e-07,0.2496352442073858
0.2575699095470886,0.09297662693890096,0.0004677673565979045,0.28451511841545973,0.5088856962303728,0.02463026310170291,0.012864928638725797,0.20546756653283982,0.5331615009117493,0.6960460061979494,0.07660738109389187,5.203829261959809e-07,0.23598856796159218
0.18489243616725615,0.03716275203885122,0.00013873767745319776,0.4765894461963026,0.6639797062011712,0.01795922853980218,0.04892914774525592,0.13747251652078119,0.673083561175613,0.9320273392111882,0.0398750705688683,1.1406302767150468e-05,0.19717154812430537
0.4938240330976271,0.0023226414412235766,0.00012730496433304363,0.3068130531530925,0.6599763677459904,0.03287550833917008,0.08031491448856509,0.15606332350960062,0.8023369120890506,0.9857469585022155,0.02755420494098193,1.562181139425934e-05,0.38797891435265863
0.5615338626173527,0.01081203116300819,0.0003972388390692362,0.4544295148723879,0.7375350710238188,0.0020723067688021716,0.08868715151776241,0.08162656521923195,0.4327649971541373,0.6044583808294339,0.09383833728262914,0.00016633646445708943,0.3200194790227836
0.4117045466827981,0.041842344984454605,0.0002893532838204662,0.20018477291630843,0.5169775173692397,0.0055613731072528556,0.16448766072743037,0.09630801090020635,0.5504786658317062,0.6911298974812525,0.22174177400343353,0.00023725735587957773,0.4077522887508519
0.3768142451819614,0.06838895880458751,0.00013908733285391962,0.29978428784014144,0.6922996816661877,0.006806159306760512,0.3783861140189084,0.08780266610423515,0.6034104731533763,0.8859984115706531,0.1777089676666228,0.0006614768371877246,0.309807600430427
0.21340504372218405,0.058290645085320225,0.0001952029880730003,0.315733377324546,0.1432618133954746,0.005107463364977298,0.45834816269387213,0.12089120462483893,0.273407090275834,0.9763563557960414,0.7323652535728895,0.0005582786483130765,0.5269867379388258
0.7197568279399789,0.024938177183355892,0.0015885913776464157,0.36548013772822796,0.18550584399560532,0.0035946502412628964,0.8652024559700726,0.18887094005373384,0.5199222616108512,0.8447110698144781,0.9364303702879753,0.0004926685543870836,0.5121857403110016
0.5852926572792707,0.08170428394939211,0.005103915035900574,0.35389991032398105,0.6359607473242705,0.050311085093623364,0.7641962910314426,0.04834848806476477,0.18431480984064275,0.7428767618349293,0.7854481869725174,0.007477140078921473,0.7090591963029866
