,Poisson (λ = 1),"Uniforme {0, 1, 2}","Binomiale (n=2, p=1/2)","Binomiale (n=10, p=1/10)","Binomiale (n=50, p=1/50)","Bêta-Binomiale (n=2, α=3, β=3)","Bêta-Binomiale (n=5, α=5, β=20)","Bêta-Binomiale (n=3, α=5, β=10)","Bêta-Binomiale (n=10, α=5, β=45)","Négative Binomiale (n=1, p=0.5)","Négative Binomiale (n=10, p=10/11)","Hyper-Géométrique (N=10, n=2, p=0.5)","Hyper-Géométrique (N=100, n=10, p=0.1)"
10,4.072559955726529e-11,3.881497025709123e-35,7.078393734436769e-53,2.1391274127663177e-11,3.010355217021995e-09,1.0792835075280624e-40,5.1944059144129487e-14,9.66233722245358e-18,2.4814752512072343e-08,0.08977874958595022,1.1111649362440356e-06,1.4723952897762189e-62,9.474782680821994e-17
11,1.0434073020383799e-10,1.3897257615755864e-26,9.909083965529762e-43,1.2916595773351036e-10,3.2372608899751036e-08,3.6114042871799616e-35,1.641080522287437e-11,5.84067710778034e-16,3.05428244967215e-08,0.09948055399682165,2.981711225984736e-05,1.419408323373739e-51,4.016326232181056e-14
12,2.0640894435695582e-07,4.662258820135612e-21,2.233415485678416e-37,1.791408713311897e-07,9.384234058722613e-07,1.04363397258828e-26,1.5380074147334608e-08,3.721180158037384e-15,9.376534997856925e-07,0.06197159306648303,0.0003101399771434561,1.0859481034686892e-43,1.3731359131470278e-10
13,1.5960292626384568e-07,5.51783327725263e-21,1.3789481681564763e-26,1.8617242434894484e-07,1.878764384831708e-05,3.1625432130967576e-22,4.436292219111362e-07,1.8840087594435287e-12,7.01933302628697e-06,0.22572043915080298,0.001593014057976734,1.9984014200597195e-37,5.198207139804394e-12
14,4.565932258888284e-06,1.7331897934257196e-16,2.4169359017184373e-22,1.3270157192818012e-06,9.116549986825575e-06,1.238211521647138e-17,3.1500225259457067e-07,1.312380428129557e-13,7.184921607403769e-05,0.19584206979005936,0.000580085796810688,1.013144110705503e-33,3.0872381200937006e-09
15,0.000198779357741514,6.629345665877933e-14,2.9868003017058354e-20,2.2748979880577943e-05,0.0013133275877152788,4.4141135489829516e-17,1.752902335073771e-05,4.0033233970061333e-10,9.920412318358174e-06,0.29647638083979655,0.0012981347006657533,2.522225893155756e-31,8.733246025298507e-07
16,5.379276261399326e-06,2.898898037401764e-11,6.040575930113912e-21,0.0006184420502336341,0.00014490556474587064,1.4335630648581096e-16,1.5033204796808069e-05,2.7675610562208838e-08,0.0019143318197704024,0.4953661158334841,0.005134049102750468,2.257631435632365e-27,5.034234352422907e-07
17,1.5490595256633192e-05,8.168981508361522e-10,2.0658776082596747e-17,0.0019286481207779476,0.005326133106128204,2.963770644344031e-13,0.0014735622933880462,2.0826793547258588e-07,0.002419836315604383,0.34826153825793027,0.017846195867407943,2.4560712350074543e-25,1.419699814084871e-05
18,0.0011550426840475662,5.680425414636597e-10,4.063782300366529e-16,0.0005576725823595468,0.007145463955885085,5.097301240749726e-14,8.061452879939884e-05,1.3390025549337393e-07,0.010641322625904434,0.13167104301783283,0.005674229213175313,2.1414848431074126e-21,6.503845666390558e-05
19,0.0008591244266305389,6.241550304248418e-07,7.332833360557308e-16,0.0019985217580096282,0.002477522724635932,1.3895457039257915e-12,0.0006205429592773709,4.9774273473988985e-06,0.004833804403381663,0.18711464023954683,0.0037082983997431553,2.044563862085209e-18,2.387421175261268e-05
20,0.002328355406410932,1.7499696231202064e-07,1.2904707275630426e-13,0.001498820919911351,0.009568363986460349,2.3441324582684933e-10,0.00016686735954860748,9.14888844594014e-05,0.002818901140726158,0.3675355776560554,0.027453850298410964,2.9826526536452407e-16,0.0014679888285330097
21,0.0008970512739461763,2.9462370744059914e-07,4.094606710421798e-14,0.011296142731065004,0.006911014120090578,1.6559558433444808e-11,0.0008899650175851235,7.19577644313331e-05,0.000961384150806506,0.6310773092536596,0.04384334595932171,4.060230309211312e-15,0.00022372802892247452
22,0.042746914977275674,1.537486351538307e-05,3.149215182712929e-11,0.01177082858387492,0.020397501420810513,1.0582548099304948e-10,0.0029467063925901534,0.0011758997123572233,0.006140259701513388,0.8379333290970921,0.015364354698033822,2.1658649335522307e-12,0.0003464853532971737
23,0.018486381653710478,5.5570987621369294e-05,1.7275036721782717e-11,0.05095528900945867,0.0983858892264331,5.517544114867422e-08,0.002650362263100416,0.0002956912855187105,0.02740779601125054,0.5213511893346521,0.008614513691998942,1.8695082479291416e-11,0.002942770571654453
24,0.062709430556675,3.9363967935932403e-05,3.073675770846853e-10,0.03477996617880452,0.005391254848725299,3.807539557600164e-07,0.019317921199628853,0.004797513494611515,0.051530169577370444,0.78728302615831,0.05072192838771228,6.306340909969913e-11,0.00048680497437792044
25,0.2279276798208396,4.934007283616225e-05,1.229978119375786e-08,0.04206008649502735,0.05217454247550224,2.718255587972436e-06,0.004907496877980113,0.003660538836348184,0.20534341923639643,0.3932100565934338,0.1067919675977147,1.1307101892378669e-07,0.00330023610535175
26,0.08211557865933938,0.00039179987502092813,1.570206526759983e-08,0.018558425845301697,0.07572767079842113,3.6072257251425607e-06,0.0018940024829038342,0.02281852329599684,0.2891488980941139,0.4149725017478303,0.0395881069024373,5.77757642363716e-08,0.005097308564717453
27,0.07964794863167779,0.0003156681885425284,9.118292003928641e-07,0.1659285602937719,0.4817905906413804,3.271163712208547e-07,0.0025587629969749883,0.0019088187656531555,0.23341608866230867,0.3818655321712995,0.07325994253398849,2.1693540943565798e-07,0.01828602388654299
28,0.01592731007262801,0.00027975584218154187,5.318739077796373e-06,0.12784198486598575,0.31467323584072004,2.4432270931886745e-07,0.049243976865315675,0.00044018335689436516,0.12290224790433257,0.7705801898193747,0.17064843064225177,6.746212623291052e-07,0.011580956051095086
